job_id,job_title,location,skills,description
41,Frontend Developer,Remote,"Next.js,TypeScript,HTML,React,JavaScript",Great opportunity for a Frontend Developer
42,Full Stack Developer,Remote,"JavaScript,Docker,Python,SQL",Great opportunity for a Full Stack Developer
43,Backend Developer,Remote,"Docker,SQL,FastAPI,MongoDB",Great opportunity for a Backend Developer
44,Full Stack Developer,Remote,"CSS,Python,React,Docker",Great opportunity for a Full Stack Developer
45,Frontend Developer,Remote,"TypeScript,CSS,JavaScript,React",Great opportunity for a Frontend Developer
46,Frontend Developer,Remote,"CSS,React,HTML,TypeScript",Great opportunity for a Frontend Developer
47,Backend Developer,Remote,"Python,Node.js,Docker",Great opportunity for a Backend Developer
48,Frontend Developer,Remote,"HTML,TypeScript,JavaScript",Great opportunity for a Frontend Developer
49,Frontend Developer,Remote,"Next.js,JavaScript,HTML,React,CSS",Great opportunity for a Frontend Developer
50,Full Stack Developer,Remote,"Node.js,JavaScript,Docker",Great opportunity for a Full Stack Developer
51,Full Stack Developer,Remote,"React,Python,Docker,Node.js,SQL",Great opportunity for a Full Stack Developer
52,Backend Developer,Remote,"PostgreSQL,Node.js,FastAPI,SQL",Great opportunity for a Backend Developer
53,Full Stack Developer,Remote,"CSS,SQL,Python,JavaScript,HTML",Great opportunity for a Full Stack Developer
54,Frontend Developer,Remote,"JavaScript,CSS,React",Great opportunity for a Frontend Developer
55,Full Stack Developer,Remote,"CSS,JavaScript,React",Great opportunity for a Full Stack Developer
56,Frontend Developer,Remote,"JavaScript,Next.js,HTML,CSS,TypeScript",Great opportunity for a Frontend Developer
57,Backend Developer,Remote,"Node.js,PostgreSQL,Docker",Great opportunity for a Backend Developer
58,Backend Developer,Remote,"Node.js,Python,MongoDB,SQL,FastAPI",Great opportunity for a Backend Developer
59,Full Stack Developer,Remote,"Docker,CSS,JavaScript,Node.js",Great opportunity for a Full Stack Developer
60,Full Stack Developer,Remote,"Node.js,HTML,JavaScript,SQL,Docker",Great opportunity for a Full Stack Developer
61,Frontend Developer,Remote,"TypeScript,JavaScript,HTML,Next.js,React",Great opportunity for a Frontend Developer
62,Backend Developer,Remote,"FastAPI,Node.js,MongoDB,SQL,Docker",Great opportunity for a Backend Developer
63,Frontend Developer,Remote,"React,HTML,TypeScript,Next.js",Great opportunity for a Frontend Developer
64,Frontend Developer,Remote,"React,TypeScript,HTML",Great opportunity for a Frontend Developer
65,Backend Developer,Remote,"MongoDB,Node.js,Python,FastAPI,PostgreSQL",Great opportunity for a Backend Developer
66,Frontend Developer,Remote,"TypeScript,CSS,Next.js",Great opportunity for a Frontend Developer
67,Backend Developer,Remote,"Docker,FastAPI,MongoDB,Python",Great opportunity for a Backend Developer
68,Backend Developer,Remote,"PostgreSQL,SQL,MongoDB",Great opportunity for a Backend Developer
69,Full Stack Developer,Remote,"Python,SQL,Node.js,JavaScript",Great opportunity for a Full Stack Developer
70,Frontend Developer,Remote,"JavaScript,Next.js,CSS,HTML,React",Great opportunity for a Frontend Developer
71,Frontend Developer,Remote,"TypeScript,HTML,JavaScript",Great opportunity for a Frontend Developer
72,Backend Developer,Remote,"MongoDB,PostgreSQL,Docker,Python",Great opportunity for a Backend Developer
73,Frontend Developer,Remote,"JavaScript,CSS,React,Next.js,HTML",Great opportunity for a Frontend Developer
74,Full Stack Developer,Remote,"Python,JavaScript,Node.js,SQL,Docker",Great opportunity for a Full Stack Developer
75,Backend Developer,Remote,"MongoDB,Docker,SQL,Python,PostgreSQL",Great opportunity for a Backend Developer
76,Full Stack Developer,Remote,"JavaScript,React,Docker",Great opportunity for a Full Stack Developer
77,Frontend Developer,Remote,"CSS,JavaScript,Next.js,TypeScript,React",Great opportunity for a Frontend Developer
78,Full Stack Developer,Remote,"React,CSS,JavaScript,SQL,Python",Great opportunity for a Full Stack Developer
79,Frontend Developer,Remote,"React,Next.js,TypeScript,JavaScript,HTML",Great opportunity for a Frontend Developer
80,Full Stack Developer,Remote,"JavaScript,React,SQL,HTML,Python",Great opportunity for a Full Stack Developer
81,Backend Developer,Remote,"Docker,PostgreSQL,SQL,Node.js,FastAPI",Great opportunity for a Backend Developer
82,Frontend Developer,Remote,"TypeScript,CSS,Next.js,JavaScript,HTML",Great opportunity for a Frontend Developer
83,Full Stack Developer,Remote,"SQL,Node.js,HTML,Docker",Great opportunity for a Full Stack Developer
84,Frontend Developer,Remote,"HTML,JavaScript,React,CSS",Great opportunity for a Frontend Developer
85,Backend Developer,Remote,"Node.js,FastAPI,SQL,MongoDB",Great opportunity for a Backend Developer
86,Backend Developer,Remote,"Python,PostgreSQL,Node.js,FastAPI,Docker",Great opportunity for a Backend Developer
87,Backend Developer,Remote,"Python,PostgreSQL,FastAPI",Great opportunity for a Backend Developer
88,Full Stack Developer,Remote,"HTML,React,CSS,JavaScript",Great opportunity for a Full Stack Developer
89,Backend Developer,Remote,"PostgreSQL,Node.js,MongoDB",Great opportunity for a Backend Developer
90,Full Stack Developer,Remote,"Python,React,Docker",Great opportunity for a Full Stack Developer
91,Frontend Developer,Remote,"JavaScript,React,HTML,CSS,TypeScript",Great opportunity for a Frontend Developer
92,Backend Developer,Remote,"Python,MongoDB,Node.js,SQL",Great opportunity for a Backend Developer
93,Backend Developer,Remote,"PostgreSQL,Node.js,Docker,MongoDB,FastAPI",Great opportunity for a Backend Developer
94,Full Stack Developer,Remote,"JavaScript,HTML,React,CSS,Python",Great opportunity for a Full Stack Developer
95,Full Stack Developer,Remote,"SQL,React,HTML",Great opportunity for a Full Stack Developer
96,Full Stack Developer,Remote,"Node.js,SQL,Docker",Great opportunity for a Full Stack Developer
97,Frontend Developer,Remote,"TypeScript,HTML,React,CSS,Next.js",Great opportunity for a Frontend Developer
98,Full Stack Developer,Remote,"SQL,JavaScript,HTML",Great opportunity for a Full Stack Developer
99,Frontend Developer,Remote,"JavaScript,CSS,Next.js",Great opportunity for a Frontend Developer
100,Frontend Developer,Remote,"React,CSS,JavaScript,HTML,Next.js",Great opportunity for a Frontend Developer
101,Backend Developer,Remote,"Node.js,PostgreSQL,Python,MongoDB,FastAPI",Great opportunity for a Backend Developer
102,Full Stack Developer,Remote,"JavaScript,Python,HTML,CSS",Great opportunity for a Full Stack Developer
103,Full Stack Developer,Remote,"Docker,Node.js,SQL,HTML",Great opportunity for a Full Stack Developer
104,Full Stack Developer,Remote,"Docker,Python,React,JavaScript",Great opportunity for a Full Stack Developer
105,Full Stack Developer,Remote,"CSS,SQL,Node.js,HTML",Great opportunity for a Full Stack Developer
106,Backend Developer,Remote,"Python,MongoDB,SQL,Docker,PostgreSQL",Great opportunity for a Backend Developer
107,Full Stack Developer,Remote,"SQL,JavaScript,HTML,Python,Docker",Great opportunity for a Full Stack Developer
108,Frontend Developer,Remote,"React,HTML,JavaScript,Next.js,TypeScript",Great opportunity for a Frontend Developer
109,Frontend Developer,Remote,"Next.js,HTML,React,JavaScript,CSS",Great opportunity for a Frontend Developer
110,Full Stack Developer,Remote,"Docker,JavaScript,Node.js,React",Great opportunity for a Full Stack Developer
111,Frontend Developer,Remote,"Next.js,JavaScript,CSS,TypeScript,React",Great opportunity for a Frontend Developer
112,Full Stack Developer,Remote,"Node.js,CSS,SQL,Docker",Great opportunity for a Full Stack Developer
113,Frontend Developer,Remote,"CSS,React,Next.js,HTML,JavaScript",Great opportunity for a Frontend Developer
114,Frontend Developer,Remote,"HTML,TypeScript,CSS,JavaScript,Next.js",Great opportunity for a Frontend Developer
115,Full Stack Developer,Remote,"Node.js,SQL,Docker,CSS,HTML",Great opportunity for a Full Stack Developer
116,Frontend Developer,Remote,"JavaScript,Next.js,HTML",Great opportunity for a Frontend Developer
117,Backend Developer,Remote,"Node.js,MongoDB,FastAPI,Docker,SQL",Great opportunity for a Backend Developer
118,Backend Developer,Remote,"Docker,Python,PostgreSQL,SQL,Node.js",Great opportunity for a Backend Developer
119,Full Stack Developer,Remote,"Docker,JavaScript,SQL,CSS,Python",Great opportunity for a Full Stack Developer
120,Backend Developer,Remote,"SQL,PostgreSQL,Docker,Python",Great opportunity for a Backend Developer
121,Backend Developer,Remote,"MongoDB,PostgreSQL,Docker,Python,SQL",Great opportunity for a Backend Developer
122,Frontend Developer,Remote,"TypeScript,React,JavaScript",Great opportunity for a Frontend Developer
123,Backend Developer,Remote,"MongoDB,Node.js,FastAPI",Great opportunity for a Backend Developer
124,Full Stack Developer,Remote,"Docker,React,Python",Great opportunity for a Full Stack Developer
125,Backend Developer,Remote,"PostgreSQL,MongoDB,Docker,FastAPI,Python",Great opportunity for a Backend Developer
126,Backend Developer,Remote,"Docker,SQL,FastAPI",Great opportunity for a Backend Developer
127,Frontend Developer,Remote,"React,JavaScript,HTML,Next.js,TypeScript",Great opportunity for a Frontend Developer
128,Full Stack Developer,Remote,"SQL,React,Node.js,Docker",Great opportunity for a Full Stack Developer
129,Full Stack Developer,Remote,"JavaScript,React,Node.js,SQL",Great opportunity for a Full Stack Developer
130,Full Stack Developer,Remote,"React,CSS,JavaScript,HTML",Great opportunity for a Full Stack Developer
131,Full Stack Developer,Remote,"CSS,Node.js,JavaScript,Docker",Great opportunity for a Full Stack Developer
132,Full Stack Developer,Remote,"React,Docker,Node.js",Great opportunity for a Full Stack Developer
133,Backend Developer,Remote,"FastAPI,Python,Node.js",Great opportunity for a Backend Developer
134,Full Stack Developer,Remote,"Node.js,Python,Docker,CSS,React",Great opportunity for a Full Stack Developer
135,Frontend Developer,Remote,"Next.js,React,JavaScript",Great opportunity for a Frontend Developer
136,Backend Developer,Remote,"Node.js,PostgreSQL,SQL,MongoDB,FastAPI",Great opportunity for a Backend Developer
137,Frontend Developer,Remote,"React,HTML,CSS",Great opportunity for a Frontend Developer
138,Full Stack Developer,Remote,"HTML,React,CSS,Python,Docker",Great opportunity for a Full Stack Developer
139,Frontend Developer,Remote,"HTML,Next.js,TypeScript,JavaScript",Great opportunity for a Frontend Developer
140,Full Stack Developer,Remote,"Docker,Node.js,JavaScript,React,HTML",Great opportunity for a Full Stack Developer
141,Full Stack Developer,Remote,"HTML,SQL,Python,Docker",Great opportunity for a Full Stack Developer
142,Backend Developer,Remote,"SQL,Python,FastAPI,Node.js",Great opportunity for a Backend Developer
143,Backend Developer,Remote,"FastAPI,Docker,Python,PostgreSQL,MongoDB",Great opportunity for a Backend Developer
144,Full Stack Developer,Remote,"Node.js,HTML,Python,CSS,JavaScript",Great opportunity for a Full Stack Developer
145,Full Stack Developer,Remote,"Python,JavaScript,HTML",Great opportunity for a Full Stack Developer
146,Frontend Developer,Remote,"HTML,JavaScript,Next.js,React",Great opportunity for a Frontend Developer
147,Full Stack Developer,Remote,"HTML,Node.js,CSS,Docker",Great opportunity for a Full Stack Developer
148,Full Stack Developer,Remote,"HTML,React,CSS,Python",Great opportunity for a Full Stack Developer
149,Backend Developer,Remote,"Node.js,FastAPI,PostgreSQL",Great opportunity for a Backend Developer
150,Backend Developer,Remote,"MongoDB,FastAPI,SQL,PostgreSQL",Great opportunity for a Backend Developer
151,Full Stack Developer,Remote,"Python,Docker,React",Great opportunity for a Full Stack Developer
152,Frontend Developer,Remote,"TypeScript,Next.js,HTML",Great opportunity for a Frontend Developer
153,Full Stack Developer,Remote,"Node.js,Docker,HTML,CSS,React",Great opportunity for a Full Stack Developer
154,Backend Developer,Remote,"Docker,MongoDB,Node.js,FastAPI",Great opportunity for a Backend Developer
155,Backend Developer,Remote,"MongoDB,SQL,Python",Great opportunity for a Backend Developer
156,Frontend Developer,Remote,"HTML,CSS,React,TypeScript,Next.js",Great opportunity for a Frontend Developer
157,Frontend Developer,Remote,"Next.js,TypeScript,CSS,JavaScript",Great opportunity for a Frontend Developer
158,Frontend Developer,Remote,"CSS,HTML,Next.js,JavaScript",Great opportunity for a Frontend Developer
159,Frontend Developer,Remote,"HTML,TypeScript,React",Great opportunity for a Frontend Developer
160,Backend Developer,Remote,"PostgreSQL,FastAPI,Node.js,Docker",Great opportunity for a Backend Developer
161,Full Stack Developer,Remote,"React,CSS,JavaScript,Node.js",Great opportunity for a Full Stack Developer
162,Frontend Developer,Remote,"Next.js,HTML,CSS,React,TypeScript",Great opportunity for a Frontend Developer
163,Backend Developer,Remote,"Docker,PostgreSQL,MongoDB,FastAPI,SQL",Great opportunity for a Backend Developer
164,Backend Developer,Remote,"Docker,MongoDB,Python,FastAPI,Node.js",Great opportunity for a Backend Developer
165,Backend Developer,Remote,"SQL,Python,MongoDB,FastAPI",Great opportunity for a Backend Developer
166,Frontend Developer,Remote,"React,HTML,Next.js",Great opportunity for a Frontend Developer
167,Backend Developer,Remote,"FastAPI,MongoDB,Docker,Node.js,SQL",Great opportunity for a Backend Developer
168,Backend Developer,Remote,"SQL,MongoDB,PostgreSQL,Docker,Python",Great opportunity for a Backend Developer
169,Full Stack Developer,Remote,"Node.js,Python,CSS,Docker",Great opportunity for a Full Stack Developer
170,Backend Developer,Remote,"MongoDB,Node.js,Docker",Great opportunity for a Backend Developer
171,Frontend Developer,Remote,"React,TypeScript,HTML",Great opportunity for a Frontend Developer
172,Backend Developer,Remote,"FastAPI,Python,MongoDB,SQL",Great opportunity for a Backend Developer
173,Frontend Developer,Remote,"React,HTML,CSS,TypeScript,JavaScript",Great opportunity for a Frontend Developer
174,Full Stack Developer,Remote,"SQL,Node.js,CSS,JavaScript,Docker",Great opportunity for a Full Stack Developer
175,Full Stack Developer,Remote,"CSS,Docker,React,Python,Node.js",Great opportunity for a Full Stack Developer
176,Frontend Developer,Remote,"TypeScript,CSS,JavaScript,Next.js,React",Great opportunity for a Frontend Developer
177,Frontend Developer,Remote,"HTML,TypeScript,CSS",Great opportunity for a Frontend Developer
178,Frontend Developer,Remote,"HTML,TypeScript,Next.js,JavaScript",Great opportunity for a Frontend Developer
179,Full Stack Developer,Remote,"Docker,SQL,React",Great opportunity for a Full Stack Developer
180,Full Stack Developer,Remote,"SQL,React,JavaScript",Great opportunity for a Full Stack Developer
181,Frontend Developer,Remote,"React,Next.js,HTML,CSS",Great opportunity for a Frontend Developer
182,Backend Developer,Remote,"SQL,PostgreSQL,Python,Docker",Great opportunity for a Backend Developer
183,Full Stack Developer,Remote,"Python,React,Docker,SQL,CSS",Great opportunity for a Full Stack Developer
184,Frontend Developer,Remote,"JavaScript,CSS,HTML,React,Next.js",Great opportunity for a Frontend Developer
185,Backend Developer,Remote,"Python,PostgreSQL,MongoDB,Node.js,FastAPI",Great opportunity for a Backend Developer
186,Backend Developer,Remote,"Node.js,MongoDB,SQL,PostgreSQL,FastAPI",Great opportunity for a Backend Developer
187,Full Stack Developer,Remote,"SQL,CSS,HTML",Great opportunity for a Full Stack Developer
188,Frontend Developer,Remote,"React,HTML,TypeScript,CSS",Great opportunity for a Frontend Developer
189,Backend Developer,Remote,"Node.js,Docker,FastAPI",Great opportunity for a Backend Developer
190,Frontend Developer,Remote,"React,HTML,Next.js,TypeScript",Great opportunity for a Frontend Developer
191,Backend Developer,Remote,"SQL,FastAPI,Node.js",Great opportunity for a Backend Developer
192,Frontend Developer,Remote,"HTML,CSS,React,Next.js,JavaScript",Great opportunity for a Frontend Developer
193,Backend Developer,Remote,"Node.js,Docker,PostgreSQL,SQL,FastAPI",Great opportunity for a Backend Developer
194,Full Stack Developer,Remote,"Docker,HTML,React,Python,SQL",Great opportunity for a Full Stack Developer
195,Frontend Developer,Remote,"CSS,React,JavaScript",Great opportunity for a Frontend Developer
196,Full Stack Developer,Remote,"HTML,Docker,JavaScript,React",Great opportunity for a Full Stack Developer
197,Frontend Developer,Remote,"Next.js,HTML,React,CSS,JavaScript",Great opportunity for a Frontend Developer
198,Full Stack Developer,Remote,"SQL,JavaScript,Node.js,HTML",Great opportunity for a Full Stack Developer
199,Full Stack Developer,Remote,"SQL,Python,Node.js,HTML",Great opportunity for a Full Stack Developer
200,Frontend Developer,Remote,"CSS,Next.js,TypeScript,React,HTML",Great opportunity for a Frontend Developer
